Padrao,Busca,DensidadeRegiao
0,BFS,0.41025641025641024
1,BFS,0.41025641025641024
2,BFS,0.41025641025641024
3,BFS,0.41025641025641024
17,BFS,0.41025641025641024
18,BFS,0.41025641025641024
19,BFS,0.41025641025641024
20,BFS,0.41025641025641024
21,BFS,0.41025641025641024
22,BFS,0.41025641025641024
23,BFS,0.41025641025641024
34,BFS,0.41025641025641024
35,BFS,0.41025641025641024
36,BFS,0.41025641025641024
37,BFS,0.41025641025641024
38,BFS,0.41025641025641024
39,BFS,0.41025641025641024
4,BFS,0.41025641025641024
24,BFS,0.41025641025641024
5,BFS,0.41025641025641024
25,BFS,0.41025641025641024
6,BFS,0.41025641025641024
26,BFS,0.41025641025641024
14,BFS,0.41025641025641024
15,BFS,0.41025641025641024
16,BFS,0.41025641025641024
31,BFS,0.41025641025641024
32,BFS,0.41025641025641024
33,BFS,0.41025641025641024
7,BFS,0.41025641025641024
27,BFS,0.41025641025641024
8,BFS,0.41025641025641024
28,BFS,0.41025641025641024
9,BFS,0.41025641025641024
29,BFS,0.41025641025641024
11,BFS,0.41025641025641024
12,BFS,0.41025641025641024
13,BFS,0.41025641025641024
30,BFS,0.41025641025641024
10,BFS,0.41025641025641024
