Padrao,Busca,DensidadeRegiao
7,BFS,0.6374269005847953
8,BFS,0.6374269005847953
9,BFS,0.6374269005847953
10,BFS,0.6374269005847953
25,BFS,0.6374269005847953
26,BFS,0.6374269005847953
27,BFS,0.6374269005847953
28,BFS,0.6374269005847953
29,BFS,0.6374269005847953
30,BFS,0.6374269005847953
11,BFS,0.6374269005847953
31,BFS,0.6374269005847953
12,BFS,0.6374269005847953
32,BFS,0.6374269005847953
13,BFS,0.6374269005847953
33,BFS,0.6374269005847953
14,BFS,0.6374269005847953
34,BFS,0.6374269005847953
15,BFS,0.6374269005847953
0,BFS,0.6374269005847953
1,BFS,0.6374269005847953
2,BFS,0.6374269005847953
3,BFS,0.6374269005847953
17,BFS,0.6374269005847953
18,BFS,0.6374269005847953
19,BFS,0.6374269005847953
20,BFS,0.6374269005847953
21,BFS,0.6374269005847953
22,BFS,0.6374269005847953
23,BFS,0.6374269005847953
36,BFS,0.6374269005847953
37,BFS,0.6374269005847953
38,BFS,0.6374269005847953
39,BFS,0.6374269005847953
4,BFS,0.6374269005847953
24,BFS,0.6374269005847953
5,BFS,0.6374269005847953
6,BFS,0.6374269005847953
16,BFS,1.0
35,BFS,1.0
