Padrao,Busca,DensidadeRegiao,NMPA_Parcial
9,DFS,0.2282051282051282,15
11,DFS,0.2282051282051282,15
28,DFS,0.2282051282051282,15
39,DFS,0.2282051282051282,15
35,DFS,0.2282051282051282,15
34,DFS,0.2282051282051282,15
30,DFS,0.2282051282051282,15
26,DFS,0.2282051282051282,15
16,DFS,0.2282051282051282,15
5,DFS,0.2282051282051282,15
0,DFS,0.2282051282051282,15
31,DFS,0.2282051282051282,15
33,DFS,0.2282051282051282,15
24,DFS,0.2282051282051282,15
17,DFS,0.2282051282051282,15
15,DFS,0.2282051282051282,15
29,DFS,0.2282051282051282,15
21,DFS,0.2282051282051282,15
20,DFS,0.2282051282051282,15
19,DFS,0.2282051282051282,15
18,DFS,0.2282051282051282,15
12,DFS,0.2282051282051282,15
8,DFS,0.2282051282051282,15
4,DFS,0.2282051282051282,15
