Padrao,Busca,DensidadeRegiao
32,BFS,0.4727272727272727
8,BFS,0.4727272727272727
13,BFS,0.4727272727272727
20,BFS,0.4727272727272727
24,BFS,0.4727272727272727
25,BFS,0.4727272727272727
28,BFS,0.4727272727272727
15,BFS,0.4727272727272727
10,BFS,0.4727272727272727
16,BFS,0.4727272727272727
17,BFS,0.4727272727272727
33,BFS,0.3111111111111111
35,BFS,0.3111111111111111
4,BFS,0.3111111111111111
5,BFS,0.3111111111111111
31,BFS,0.3111111111111111
23,BFS,0.3111111111111111
26,BFS,0.3111111111111111
29,BFS,0.3111111111111111
30,BFS,0.3111111111111111
36,BFS,0.3111111111111111
18,BFS,0.7142857142857143
6,BFS,0.7142857142857143
7,BFS,0.7142857142857143
9,BFS,0.7142857142857143
11,BFS,0.7142857142857143
19,BFS,0.7142857142857143
21,BFS,0.7142857142857143
0,BFS,0.6
1,BFS,0.6
2,BFS,0.6
3,BFS,0.6
14,BFS,0.6
34,BFS,0.6
27,BFS,1.0
12,BFS,1.0
22,BFS,1.0
