Padrao,Busca,DensidadeRegiao
10,BFS,0.3006535947712418
1,BFS,0.3006535947712418
2,BFS,0.3006535947712418
3,BFS,0.3006535947712418
5,BFS,0.3006535947712418
9,BFS,0.3006535947712418
11,BFS,0.3006535947712418
12,BFS,0.3006535947712418
15,BFS,0.3006535947712418
16,BFS,0.3006535947712418
4,BFS,0.3006535947712418
7,BFS,0.3006535947712418
8,BFS,0.3006535947712418
0,BFS,0.3006535947712418
6,BFS,0.3006535947712418
14,BFS,0.3006535947712418
13,BFS,0.3006535947712418
19,BFS,0.3006535947712418
17,BFS,1.0
18,BFS,1.0
