Padrao,Busca,NMPA_Parcial
600,BFS,712
606,BFS,713
633,BFS,713
641,BFS,714
689,BFS,714
690,BFS,716
694,BFS,718
759,BFS,720
766,BFS,722
768,BFS,724
787,BFS,725
789,BFS,726
808,BFS,728
818,BFS,729
822,BFS,730
841,BFS,732
872,BFS,733
883,BFS,735
888,BFS,736
895,BFS,736
912,BFS,738
919,BFS,740
936,BFS,741
943,BFS,742
944,BFS,742
948,BFS,742
952,BFS,743
982,BFS,743
20,BFS,746
21,BFS,747
77,BFS,748
181,BFS,748
218,BFS,748
250,BFS,749
299,BFS,749
342,BFS,750
344,BFS,751
375,BFS,752
405,BFS,752
426,BFS,754
437,BFS,754
441,BFS,755
454,BFS,755
478,BFS,756
498,BFS,757
535,BFS,758
598,BFS,758
655,BFS,760
664,BFS,760
682,BFS,761
686,BFS,761
752,BFS,763
817,BFS,765
833,BFS,766
863,BFS,766
913,BFS,766
922,BFS,766
934,BFS,768
962,BFS,771
978,BFS,773
997,BFS,773
100,BFS,774
114,BFS,774
167,BFS,774
345,BFS,775
523,BFS,775
609,BFS,776
722,BFS,776
52,BFS,776
78,BFS,777
134,BFS,777
157,BFS,777
331,BFS,777
374,BFS,777
378,BFS,777
431,BFS,777
433,BFS,777
434,BFS,778
496,BFS,778
497,BFS,778
643,BFS,779
683,BFS,779
685,BFS,779
708,BFS,779
720,BFS,780
721,BFS,780
739,BFS,780
773,BFS,781
835,BFS,781
861,BFS,781
897,BFS,781
901,BFS,781
918,BFS,781
71,BFS,783
85,BFS,783
89,BFS,784
110,BFS,785
168,BFS,785
200,BFS,786
214,BFS,786
256,BFS,787
385,BFS,787
435,BFS,787
715,BFS,789
735,BFS,789
811,BFS,791
840,BFS,791
870,BFS,791
896,BFS,793
908,BFS,795
940,BFS,795
991,BFS,797
4,BFS,797
59,BFS,800
67,BFS,801
72,BFS,803
82,BFS,803
84,BFS,804
104,BFS,805
187,BFS,806
220,BFS,806
234,BFS,806
259,BFS,807
316,BFS,807
338,BFS,808
361,BFS,808
460,BFS,810
463,BFS,810
494,BFS,810
567,BFS,811
580,BFS,812
582,BFS,812
588,BFS,812
604,BFS,812
741,BFS,812
784,BFS,812
790,BFS,812
862,BFS,812
875,BFS,813
75,BFS,813
129,BFS,815
212,BFS,815
459,BFS,816
595,BFS,817
608,BFS,817
679,BFS,819
815,BFS,819
969,BFS,819
15,BFS,819
42,BFS,820
87,BFS,821
95,BFS,821
102,BFS,823
111,BFS,824
124,BFS,825
194,BFS,825
274,BFS,826
279,BFS,826
287,BFS,826
340,BFS,827
393,BFS,828
402,BFS,829
448,BFS,829
476,BFS,830
491,BFS,830
542,BFS,831
546,BFS,833
568,BFS,833
624,BFS,833
639,BFS,834
677,BFS,835
747,BFS,836
749,BFS,837
756,BFS,837
777,BFS,838
783,BFS,838
805,BFS,839
933,BFS,839
986,BFS,839
166,BFS,839
211,BFS,840
267,BFS,840
298,BFS,840
357,BFS,841
364,BFS,841
488,BFS,841
515,BFS,841
607,BFS,841
651,BFS,841
838,BFS,842
860,BFS,843
9,BFS,843
18,BFS,843
38,BFS,844
49,BFS,844
64,BFS,844
74,BFS,844
146,BFS,844
282,BFS,844
326,BFS,844
346,BFS,844
399,BFS,844
408,BFS,844
449,BFS,844
450,BFS,845
473,BFS,845
557,BFS,845
622,BFS,845
634,BFS,845
662,BFS,845
691,BFS,847
699,BFS,848
732,BFS,848
754,BFS,851
767,BFS,851
776,BFS,851
795,BFS,852
799,BFS,852
816,BFS,852
834,BFS,852
839,BFS,852
851,BFS,852
956,BFS,852
10,BFS,852
68,BFS,852
107,BFS,853
122,BFS,853
203,BFS,855
233,BFS,856
240,BFS,856
280,BFS,856
284,BFS,856
351,BFS,856
354,BFS,856
417,BFS,856
556,BFS,858
601,BFS,858
729,BFS,860
733,BFS,860
762,BFS,860
791,BFS,860
813,BFS,860
825,BFS,861
853,BFS,861
987,BFS,861
3,BFS,861
41,BFS,861
188,BFS,861
289,BFS,861
308,BFS,862
363,BFS,862
382,BFS,862
464,BFS,862
477,BFS,862
485,BFS,862
506,BFS,862
636,BFS,862
671,BFS,862
714,BFS,862
718,BFS,862
810,BFS,863
882,BFS,863
950,BFS,863
14,BFS,863
159,BFS,864
208,BFS,864
230,BFS,864
247,BFS,864
325,BFS,864
377,BFS,864
388,BFS,865
389,BFS,865
549,BFS,865
584,BFS,865
666,BFS,866
727,BFS,866
775,BFS,866
877,BFS,866
878,BFS,866
889,BFS,866
959,BFS,867
970,BFS,867
977,BFS,867
980,BFS,867
69,BFS,868
154,BFS,868
228,BFS,868
349,BFS,868
366,BFS,868
487,BFS,871
684,BFS,871
743,BFS,871
844,BFS,873
847,BFS,873
874,BFS,876
955,BFS,876
981,BFS,876
988,BFS,877
35,BFS,877
54,BFS,877
56,BFS,878
123,BFS,878
190,BFS,878
244,BFS,878
292,BFS,878
293,BFS,878
503,BFS,878
586,BFS,878
592,BFS,880
757,BFS,880
931,BFS,881
938,BFS,881
984,BFS,881
994,BFS,881
139,BFS,881
172,BFS,881
179,BFS,881
195,BFS,881
264,BFS,881
303,BFS,881
323,BFS,881
379,BFS,882
394,BFS,882
416,BFS,882
513,BFS,882
707,BFS,882
716,BFS,882
826,BFS,882
887,BFS,882
893,BFS,882
920,BFS,882
921,BFS,882
966,BFS,882
976,BFS,882
115,BFS,882
193,BFS,882
273,BFS,883
336,BFS,884
407,BFS,884
470,BFS,884
499,BFS,884
547,BFS,884
581,BFS,884
681,BFS,884
769,BFS,884
951,BFS,884
94,BFS,887
205,BFS,887
236,BFS,887
317,BFS,888
367,BFS,889
537,BFS,889
564,BFS,889
673,BFS,889
848,BFS,889
894,BFS,889
945,BFS,889
949,BFS,889
958,BFS,889
355,BFS,889
386,BFS,889
484,BFS,889
512,BFS,889
519,BFS,890
576,BFS,890
587,BFS,891
615,BFS,891
625,BFS,891
645,BFS,891
702,BFS,891
710,BFS,891
750,BFS,891
957,BFS,891
32,BFS,891
73,BFS,891
99,BFS,891
160,BFS,891
192,BFS,892
365,BFS,892
410,BFS,893
466,BFS,893
802,BFS,894
830,BFS,894
31,BFS,894
90,BFS,894
451,BFS,894
467,BFS,894
560,BFS,894
730,BFS,894
831,BFS,894
916,BFS,894
941,BFS,894
263,BFS,895
572,BFS,895
602,BFS,895
183,BFS,895
672,BFS,895
709,BFS,895
137,BFS,895
439,BFS,896
558,BFS,896
993,BFS,896
118,BFS,896
328,BFS,896
511,BFS,896
579,BFS,896
309,BFS,896
314,BFS,896
369,BFS,896
381,BFS,896
533,BFS,896
583,BFS,896
771,BFS,897
906,BFS,897
44,BFS,898
288,BFS,898
446,BFS,899
785,BFS,899
979,BFS,899
148,BFS,899
255,BFS,899
260,BFS,899
520,BFS,899
700,BFS,899
814,BFS,899
942,BFS,899
313,BFS,899
430,BFS,899
992,BFS,899
81,BFS,900
196,BFS,900
304,BFS,900
333,BFS,900
471,BFS,900
505,BFS,900
554,BFS,900
698,BFS,900
88,BFS,901
131,BFS,902
550,BFS,902
594,BFS,902
668,BFS,902
180,BFS,902
184,BFS,902
429,BFS,902
669,BFS,902
827,BFS,902
12,BFS,902
209,BFS,902
277,BFS,902
566,BFS,902
616,BFS,902
670,BFS,902
792,BFS,903
376,BFS,903
561,BFS,903
93,BFS,903
420,BFS,903
468,BFS,903
596,BFS,903
612,BFS,903
812,BFS,903
330,BFS,903
457,BFS,903
47,BFS,903
63,BFS,903
140,BFS,903
221,BFS,903
248,BFS,904
398,BFS,904
419,BFS,904
483,BFS,904
902,BFS,904
998,BFS,904
149,BFS,904
207,BFS,904
765,BFS,904
809,BFS,904
849,BFS,904
531,BFS,904
638,BFS,904
291,BFS,904
462,BFS,904
968,BFS,904
855,BFS,904
990,BFS,905
748,BFS,905
923,BFS,905
963,BFS,905
996,BFS,905
300,BFS,905
392,BFS,905
552,BFS,905
660,BFS,905
680,BFS,905
649,BFS,905
637,BFS,905
165,BFS,905
219,BFS,905
285,BFS,905
530,BFS,905
885,BFS,905
224,BFS,905
868,BFS,905
930,BFS,905
347,BFS,905
658,BFS,905
17,BFS,905
156,BFS,905
693,BFS,905
553,BFS,905
712,BFS,905
871,BFS,905
764,BFS,905
96,BFS,905
226,BFS,905
113,BFS,905
480,BFS,906
133,BFS,906
774,BFS,906
302,BFS,906
397,BFS,906
881,BFS,906
307,BFS,906
907,BFS,906
343,BFS,906
688,BFS,906
91,BFS,906
925,BFS,906
242,BFS,906
788,BFS,906
605,BFS,906
529,BFS,906
543,BFS,906
452,BFS,906
517,BFS,906
829,BFS,906
171,BFS,906
723,BFS,906
585,BFS,906
422,BFS,906
654,BFS,907
703,BFS,907
53,BFS,907
406,BFS,907
271,BFS,907
725,BFS,907
