Padrao,Busca,DensidadeRegiao,NMPA_Parcial
364,DFS,0.05621035058430718,297
135,DFS,0.05621035058430718,297
587,DFS,0.05621035058430718,297
546,DFS,0.05621035058430718,297
535,DFS,0.05621035058430718,297
491,DFS,0.05621035058430718,297
486,DFS,0.05621035058430718,297
448,DFS,0.05621035058430718,297
379,DFS,0.05621035058430718,297
362,DFS,0.05621035058430718,297
339,DFS,0.05621035058430718,297
319,DFS,0.05621035058430718,297
313,DFS,0.05621035058430718,297
284,DFS,0.05621035058430718,297
230,DFS,0.05621035058430718,297
215,DFS,0.05621035058430718,297
210,DFS,0.05621035058430718,297
202,DFS,0.05621035058430718,297
179,DFS,0.05621035058430718,297
115,DFS,0.05621035058430718,297
114,DFS,0.05621035058430718,297
110,DFS,0.05621035058430718,297
102,DFS,0.05621035058430718,297
97,DFS,0.05621035058430718,297
89,DFS,0.05621035058430718,297
84,DFS,0.05621035058430718,297
43,DFS,0.05621035058430718,297
23,DFS,0.05621035058430718,297
8,DFS,0.05621035058430718,297
1,DFS,0.05621035058430718,297
593,DFS,0.05621035058430718,297
505,DFS,0.05621035058430718,297
596,DFS,0.05621035058430718,297
588,DFS,0.05621035058430718,297
571,DFS,0.05621035058430718,297
565,DFS,0.05621035058430718,297
556,DFS,0.05621035058430718,297
538,DFS,0.05621035058430718,297
498,DFS,0.05621035058430718,297
484,DFS,0.05621035058430718,297
474,DFS,0.05621035058430718,297
466,DFS,0.05621035058430718,297
424,DFS,0.05621035058430718,297
422,DFS,0.05621035058430718,297
392,DFS,0.05621035058430718,297
375,DFS,0.05621035058430718,297
373,DFS,0.05621035058430718,297
357,DFS,0.05621035058430718,297
344,DFS,0.05621035058430718,297
306,DFS,0.05621035058430718,297
290,DFS,0.05621035058430718,297
238,DFS,0.05621035058430718,297
214,DFS,0.05621035058430718,297
199,DFS,0.05621035058430718,297
197,DFS,0.05621035058430718,297
132,DFS,0.05621035058430718,297
106,DFS,0.05621035058430718,297
99,DFS,0.05621035058430718,297
71,DFS,0.05621035058430718,297
55,DFS,0.05621035058430718,297
22,DFS,0.05621035058430718,297
5,DFS,0.05621035058430718,297
586,DFS,0.05621035058430718,297
592,DFS,0.05621035058430718,297
584,DFS,0.05621035058430718,297
580,DFS,0.05621035058430718,297
569,DFS,0.05621035058430718,297
567,DFS,0.05621035058430718,297
539,DFS,0.05621035058430718,297
522,DFS,0.05621035058430718,297
396,DFS,0.05621035058430718,297
369,DFS,0.05621035058430718,297
360,DFS,0.05621035058430718,297
331,DFS,0.05621035058430718,297
326,DFS,0.05621035058430718,297
315,DFS,0.05621035058430718,297
307,DFS,0.05621035058430718,297
291,DFS,0.05621035058430718,297
260,DFS,0.05621035058430718,297
233,DFS,0.05621035058430718,297
220,DFS,0.05621035058430718,297
205,DFS,0.05621035058430718,297
201,DFS,0.05621035058430718,297
159,DFS,0.05621035058430718,297
141,DFS,0.05621035058430718,297
121,DFS,0.05621035058430718,297
96,DFS,0.05621035058430718,297
91,DFS,0.05621035058430718,297
13,DFS,0.05621035058430718,297
574,DFS,0.05621035058430718,297
351,DFS,0.05621035058430718,297
575,DFS,0.05621035058430718,297
541,DFS,0.05621035058430718,297
503,DFS,0.05621035058430718,297
496,DFS,0.05621035058430718,297
495,DFS,0.05621035058430718,297
485,DFS,0.05621035058430718,297
479,DFS,0.05621035058430718,297
460,DFS,0.05621035058430718,297
454,DFS,0.05621035058430718,297
434,DFS,0.05621035058430718,297
421,DFS,0.05621035058430718,297
417,DFS,0.05621035058430718,297
414,DFS,0.05621035058430718,297
408,DFS,0.05621035058430718,297
404,DFS,0.05621035058430718,297
401,DFS,0.05621035058430718,297
386,DFS,0.05621035058430718,297
374,DFS,0.05621035058430718,297
