Padrao,Busca,DensidadeRegiao
148,BFS,0.05621035058430718
2,BFS,0.05621035058430718
4,BFS,0.05621035058430718
10,BFS,0.05621035058430718
14,BFS,0.05621035058430718
17,BFS,0.05621035058430718
24,BFS,0.05621035058430718
26,BFS,0.05621035058430718
38,BFS,0.05621035058430718
57,BFS,0.05621035058430718
75,BFS,0.05621035058430718
106,BFS,0.05621035058430718
132,BFS,0.05621035058430718
137,BFS,0.05621035058430718
161,BFS,0.05621035058430718
174,BFS,0.05621035058430718
179,BFS,0.05621035058430718
182,BFS,0.05621035058430718
183,BFS,0.05621035058430718
186,BFS,0.05621035058430718
199,BFS,0.05621035058430718
211,BFS,0.05621035058430718
222,BFS,0.05621035058430718
227,BFS,0.05621035058430718
231,BFS,0.05621035058430718
232,BFS,0.05621035058430718
233,BFS,0.05621035058430718
237,BFS,0.05621035058430718
241,BFS,0.05621035058430718
249,BFS,0.05621035058430718
251,BFS,0.05621035058430718
256,BFS,0.05621035058430718
259,BFS,0.05621035058430718
261,BFS,0.05621035058430718
262,BFS,0.05621035058430718
266,BFS,0.05621035058430718
269,BFS,0.05621035058430718
289,BFS,0.05621035058430718
293,BFS,0.05621035058430718
300,BFS,0.05621035058430718
306,BFS,0.05621035058430718
320,BFS,0.05621035058430718
331,BFS,0.05621035058430718
340,BFS,0.05621035058430718
341,BFS,0.05621035058430718
343,BFS,0.05621035058430718
344,BFS,0.05621035058430718
346,BFS,0.05621035058430718
347,BFS,0.05621035058430718
350,BFS,0.05621035058430718
364,BFS,0.05621035058430718
377,BFS,0.05621035058430718
390,BFS,0.05621035058430718
406,BFS,0.05621035058430718
422,BFS,0.05621035058430718
435,BFS,0.05621035058430718
444,BFS,0.05621035058430718
456,BFS,0.05621035058430718
459,BFS,0.05621035058430718
462,BFS,0.05621035058430718
492,BFS,0.05621035058430718
504,BFS,0.05621035058430718
509,BFS,0.05621035058430718
511,BFS,0.05621035058430718
516,BFS,0.05621035058430718
517,BFS,0.05621035058430718
518,BFS,0.05621035058430718
533,BFS,0.05621035058430718
534,BFS,0.05621035058430718
546,BFS,0.05621035058430718
548,BFS,0.05621035058430718
549,BFS,0.05621035058430718
556,BFS,0.05621035058430718
561,BFS,0.05621035058430718
572,BFS,0.05621035058430718
580,BFS,0.05621035058430718
590,BFS,0.05621035058430718
594,BFS,0.05621035058430718
597,BFS,0.05621035058430718
598,BFS,0.05621035058430718
11,BFS,0.05621035058430718
37,BFS,0.05621035058430718
47,BFS,0.05621035058430718
109,BFS,0.05621035058430718
165,BFS,0.05621035058430718
264,BFS,0.05621035058430718
270,BFS,0.05621035058430718
274,BFS,0.05621035058430718
294,BFS,0.05621035058430718
326,BFS,0.05621035058430718
365,BFS,0.05621035058430718
410,BFS,0.05621035058430718
419,BFS,0.05621035058430718
427,BFS,0.05621035058430718
438,BFS,0.05621035058430718
478,BFS,0.05621035058430718
512,BFS,0.05621035058430718
544,BFS,0.05621035058430718
551,BFS,0.05621035058430718
552,BFS,0.05621035058430718
567,BFS,0.05621035058430718
587,BFS,0.05621035058430718
1,BFS,0.05621035058430718
93,BFS,0.05621035058430718
120,BFS,0.05621035058430718
122,BFS,0.05621035058430718
145,BFS,0.05621035058430718
168,BFS,0.05621035058430718
239,BFS,0.05621035058430718
242,BFS,0.05621035058430718
253,BFS,0.05621035058430718
258,BFS,0.05621035058430718
260,BFS,0.05621035058430718
275,BFS,0.05621035058430718
285,BFS,0.05621035058430718
290,BFS,0.05621035058430718
307,BFS,0.05621035058430718
323,BFS,0.05621035058430718
332,BFS,0.05621035058430718
338,BFS,0.05621035058430718
352,BFS,0.05621035058430718
353,BFS,0.05621035058430718
424,BFS,0.05621035058430718
425,BFS,0.05621035058430718
487,BFS,0.05621035058430718
498,BFS,0.05621035058430718
589,BFS,0.05621035058430718
27,BFS,0.05621035058430718
88,BFS,0.05621035058430718
133,BFS,0.05621035058430718
155,BFS,0.05621035058430718
220,BFS,0.05621035058430718
254,BFS,0.05621035058430718
333,BFS,0.05621035058430718
334,BFS,0.05621035058430718
369,BFS,0.05621035058430718
440,BFS,0.05621035058430718
448,BFS,0.05621035058430718
474,BFS,0.05621035058430718
476,BFS,0.05621035058430718
496,BFS,0.05621035058430718
507,BFS,0.05621035058430718
508,BFS,0.05621035058430718
19,BFS,0.05621035058430718
23,BFS,0.05621035058430718
30,BFS,0.05621035058430718
42,BFS,0.05621035058430718
