Padrao,Busca,DensidadeRegiao
9,BFS,0.2282051282051282
0,BFS,0.2282051282051282
4,BFS,0.2282051282051282
5,BFS,0.2282051282051282
11,BFS,0.2282051282051282
15,BFS,0.2282051282051282
16,BFS,0.2282051282051282
17,BFS,0.2282051282051282
18,BFS,0.2282051282051282
19,BFS,0.2282051282051282
20,BFS,0.2282051282051282
21,BFS,0.2282051282051282
24,BFS,0.2282051282051282
28,BFS,0.2282051282051282
29,BFS,0.2282051282051282
30,BFS,0.2282051282051282
31,BFS,0.2282051282051282
34,BFS,0.2282051282051282
6,BFS,0.2282051282051282
8,BFS,0.2282051282051282
22,BFS,0.2282051282051282
23,BFS,0.2282051282051282
26,BFS,0.2282051282051282
35,BFS,0.2282051282051282
7,BFS,0.2282051282051282
13,BFS,0.2282051282051282
25,BFS,0.2282051282051282
27,BFS,0.2282051282051282
39,BFS,0.2282051282051282
2,BFS,0.2282051282051282
12,BFS,0.2282051282051282
10,BFS,0.2282051282051282
36,BFS,0.2282051282051282
3,BFS,0.2282051282051282
1,BFS,0.2282051282051282
14,BFS,0.2282051282051282
37,BFS,0.2282051282051282
38,BFS,0.2282051282051282
32,BFS,0.2282051282051282
33,BFS,0.2282051282051282
