Padrao,Busca,DensidadeRegiao,NMPA_Parcial
0,BFS,0.41025641025641024,15
19,BFS,0.41025641025641024,15
1,BFS,0.41025641025641024,15
39,BFS,0.41025641025641024,15
38,BFS,0.41025641025641024,15
37,BFS,0.41025641025641024,15
36,BFS,0.41025641025641024,15
21,BFS,0.41025641025641024,15
20,BFS,0.41025641025641024,15
18,BFS,0.41025641025641024,15
2,BFS,0.41025641025641024,15
35,BFS,0.41025641025641024,15
34,BFS,0.41025641025641024,15
23,BFS,0.41025641025641024,15
22,BFS,0.41025641025641024,15
17,BFS,0.41025641025641024,15
3,BFS,0.41025641025641024,15
33,BFS,0.41025641025641024,15
16,BFS,0.41025641025641024,15
24,BFS,0.41025641025641024,15
4,BFS,0.41025641025641024,15
25,BFS,0.41025641025641024,15
5,BFS,0.41025641025641024,15
32,BFS,0.41025641025641024,15
15,BFS,0.41025641025641024,15
31,BFS,0.41025641025641024,15
14,BFS,0.41025641025641024,15
30,BFS,0.41025641025641024,15
13,BFS,0.41025641025641024,15
27,BFS,0.41025641025641024,15
7,BFS,0.41025641025641024,15
6,BFS,0.41025641025641024,15
26,BFS,0.41025641025641024,15
29,BFS,0.41025641025641024,15
12,BFS,0.41025641025641024,15
28,BFS,0.41025641025641024,15
11,BFS,0.41025641025641024,15
9,BFS,0.41025641025641024,15
8,BFS,0.41025641025641024,15
10,BFS,0.41025641025641024,15
