Padrao,Busca,DensidadeRegiao
12,BFS,0.6735632183908046
0,BFS,0.6735632183908046
1,BFS,0.6735632183908046
2,BFS,0.6735632183908046
3,BFS,0.6735632183908046
4,BFS,0.6735632183908046
5,BFS,0.6735632183908046
6,BFS,0.6735632183908046
8,BFS,0.6735632183908046
9,BFS,0.6735632183908046
10,BFS,0.6735632183908046
11,BFS,0.6735632183908046
13,BFS,0.6735632183908046
14,BFS,0.6735632183908046
15,BFS,0.6735632183908046
16,BFS,0.6735632183908046
17,BFS,0.6735632183908046
19,BFS,0.6735632183908046
20,BFS,0.6735632183908046
21,BFS,0.6735632183908046
22,BFS,0.6735632183908046
23,BFS,0.6735632183908046
24,BFS,0.6735632183908046
25,BFS,0.6735632183908046
26,BFS,0.6735632183908046
27,BFS,0.6735632183908046
28,BFS,0.6735632183908046
29,BFS,0.6735632183908046
18,BFS,0.6735632183908046
7,BFS,0.6735632183908046
