Padrao,Busca,DensidadeRegiao,NMPA_Parcial
12,BFS,0.6735632183908046,28
16,BFS,0.6735632183908046,28
19,BFS,0.6735632183908046,28
24,BFS,0.6735632183908046,28
25,BFS,0.6735632183908046,28
10,BFS,0.6735632183908046,28
13,BFS,0.6735632183908046,28
28,BFS,0.6735632183908046,28
5,BFS,0.6735632183908046,28
23,BFS,0.6735632183908046,28
1,BFS,0.6735632183908046,28
14,BFS,0.6735632183908046,28
22,BFS,0.6735632183908046,28
11,BFS,0.6735632183908046,28
8,BFS,0.6735632183908046,28
2,BFS,0.6735632183908046,28
9,BFS,0.6735632183908046,28
21,BFS,0.6735632183908046,28
20,BFS,0.6735632183908046,28
27,BFS,0.6735632183908046,28
29,BFS,0.6735632183908046,28
17,BFS,0.6735632183908046,28
15,BFS,0.6735632183908046,28
3,BFS,0.6735632183908046,28
4,BFS,0.6735632183908046,28
0,BFS,0.6735632183908046,28
26,BFS,0.6735632183908046,28
6,BFS,0.6735632183908046,28
18,BFS,0.6735632183908046,28
7,BFS,0.6735632183908046,28
