Padrao,Busca,NMPA_Parcial
0,DFS,3
34,BFS,9
38,BFS,10
40,BFS,10
118,BFS,10
146,BFS,10
214,BFS,11
229,BFS,11
252,BFS,11
263,BFS,11
276,BFS,11
341,BFS,11
377,BFS,13
395,BFS,13
422,BFS,13
476,BFS,14
538,BFS,14
542,BFS,14
552,BFS,17
587,BFS,17
588,BFS,18
17,BFS,21
26,BFS,23
46,BFS,23
52,BFS,23
64,BFS,24
90,BFS,25
103,BFS,26
107,BFS,27
119,BFS,28
167,BFS,28
170,BFS,29
180,BFS,30
187,BFS,32
208,BFS,34
212,BFS,35
221,BFS,36
224,BFS,37
235,BFS,37
255,BFS,37
277,BFS,37
281,BFS,37
292,BFS,38
301,BFS,39
309,BFS,39
314,BFS,40
317,BFS,43
322,BFS,43
325,BFS,43
339,BFS,43
344,BFS,44
358,BFS,46
389,BFS,46
391,BFS,46
398,BFS,47
400,BFS,47
407,BFS,47
408,BFS,47
409,BFS,49
427,BFS,50
448,BFS,51
458,BFS,52
465,BFS,52
525,BFS,56
533,BFS,56
537,BFS,56
541,BFS,58
544,BFS,61
553,BFS,63
557,BFS,64
589,BFS,64
2,BFS,66
18,BFS,69
59,BFS,71
73,BFS,71
88,BFS,71
122,BFS,72
148,BFS,77
165,BFS,77
169,BFS,78
179,BFS,79
204,BFS,79
218,BFS,79
226,BFS,79
256,BFS,79
270,BFS,79
326,BFS,79
354,BFS,80
365,BFS,85
405,BFS,86
410,BFS,86
416,BFS,87
459,BFS,89
478,BFS,90
488,BFS,92
496,BFS,94
504,BFS,96
561,BFS,97
567,BFS,98
598,BFS,98
15,BFS,102
32,BFS,106
128,BFS,108
164,BFS,110
185,BFS,113
216,BFS,114
272,BFS,115
367,BFS,118
388,BFS,120
439,BFS,123
442,BFS,125
450,BFS,125
451,BFS,130
483,BFS,130
487,BFS,130
508,BFS,130
550,BFS,131
570,BFS,133
591,BFS,135
6,BFS,136
9,BFS,136
21,BFS,138
23,BFS,140
47,BFS,141
48,BFS,143
56,BFS,143
62,BFS,144
95,BFS,145
156,BFS,145
161,BFS,147
184,BFS,148
186,BFS,148
196,BFS,148
223,BFS,148
231,BFS,150
245,BFS,151
251,BFS,152
278,BFS,153
291,BFS,155
303,BFS,155
308,BFS,156
312,BFS,158
347,BFS,158
350,BFS,159
357,BFS,160
424,BFS,163
434,BFS,164
435,BFS,165
436,BFS,166
444,BFS,169
511,BFS,170
532,BFS,170
539,BFS,173
145,BFS,173
191,BFS,176
273,BFS,176
340,BFS,177
417,BFS,179
5,BFS,183
7,BFS,184
22,BFS,185
71,BFS,185
132,BFS,185
177,BFS,187
205,BFS,187
228,BFS,190
313,BFS,192
318,BFS,195
373,BFS,196
386,BFS,197
467,BFS,198
479,BFS,201
484,BFS,204
548,BFS,204
565,BFS,205
577,BFS,205
593,BFS,206
596,BFS,210
39,BFS,214
69,BFS,215
75,BFS,215
96,BFS,217
149,BFS,220
163,BFS,222
178,BFS,222
207,BFS,223
244,BFS,225
298,BFS,225
311,BFS,229
343,BFS,230
363,BFS,232
396,BFS,234
411,BFS,235
412,BFS,235
482,BFS,236
534,BFS,236
597,BFS,238
30,BFS,239
43,BFS,239
50,BFS,241
54,BFS,241
80,BFS,241
82,BFS,242
108,BFS,244
131,BFS,244
142,BFS,245
159,BFS,245
162,BFS,247
189,BFS,248
190,BFS,249
195,BFS,250
234,BFS,250
265,BFS,252
268,BFS,253
294,BFS,253
348,BFS,253
356,BFS,256
378,BFS,257
385,BFS,258
418,BFS,260
426,BFS,260
453,BFS,260
455,BFS,260
536,BFS,261
78,BFS,261
112,BFS,261
125,BFS,261
173,BFS,263
199,BFS,264
246,BFS,264
375,BFS,264
376,BFS,264
447,BFS,266
473,BFS,268
515,BFS,269
520,BFS,270
526,BFS,270
529,BFS,270
72,BFS,272
79,BFS,272
101,BFS,272
106,BFS,273
123,BFS,274
124,BFS,276
134,BFS,276
152,BFS,276
158,BFS,277
198,BFS,277
219,BFS,280
225,BFS,280
283,BFS,281
288,BFS,281
336,BFS,284
337,BFS,286
359,BFS,287
366,BFS,289
390,BFS,290
401,BFS,291
432,BFS,291
440,BFS,293
446,BFS,293
452,BFS,294
471,BFS,295
480,BFS,295
489,BFS,297
502,BFS,299
572,BFS,299
51,BFS,299
63,BFS,299
84,BFS,300
86,BFS,301
89,BFS,303
127,BFS,303
140,BFS,303
155,BFS,305
182,BFS,306
202,BFS,307
209,BFS,307
220,BFS,307
241,BFS,307
260,BFS,307
269,BFS,307
274,BFS,308
286,BFS,308
289,BFS,309
320,BFS,309
327,BFS,309
463,BFS,309
466,BFS,309
509,BFS,310
578,BFS,311
4,BFS,312
24,BFS,314
36,BFS,316
94,BFS,317
137,BFS,318
166,BFS,319
197,BFS,319
233,BFS,321
237,BFS,321
261,BFS,321
266,BFS,322
284,BFS,323
287,BFS,324
295,BFS,324
299,BFS,324
370,BFS,324
379,BFS,324
399,BFS,324
402,BFS,324
461,BFS,325
468,BFS,325
492,BFS,327
506,BFS,329
516,BFS,330
535,BFS,331
580,BFS,331
83,BFS,332
117,BFS,332
153,BFS,334
485,BFS,335
486,BFS,335
493,BFS,335
495,BFS,336
554,BFS,337
579,BFS,337
33,BFS,339
99,BFS,339
172,BFS,340
297,BFS,340
300,BFS,342
364,BFS,342
406,BFS,343
430,BFS,343
438,BFS,344
445,BFS,344
490,BFS,345
559,BFS,346
10,BFS,347
27,BFS,347
92,BFS,349
93,BFS,349
181,BFS,350
232,BFS,350
236,BFS,351
293,BFS,351
330,BFS,351
334,BFS,351
518,BFS,351
563,BFS,351
35,BFS,352
44,BFS,352
111,BFS,353
138,BFS,356
144,BFS,356
151,BFS,357
242,BFS,359
275,BFS,359
282,BFS,359
305,BFS,359
351,BFS,359
352,BFS,359
361,BFS,360
384,BFS,360
443,BFS,360
527,BFS,363
531,BFS,363
568,BFS,363
1,BFS,364
12,BFS,365
16,BFS,366
65,BFS,367
91,BFS,367
120,BFS,367
129,BFS,368
290,BFS,368
329,BFS,369
346,BFS,369
423,BFS,370
449,BFS,371
472,BFS,371
494,BFS,372
510,BFS,373
513,BFS,373
55,BFS,374
60,BFS,375
76,BFS,375
87,BFS,375
130,BFS,375
143,BFS,375
174,BFS,376
203,BFS,377
217,BFS,379
238,BFS,380
247,BFS,382
321,BFS,384
420,BFS,384
431,BFS,384
460,BFS,384
517,BFS,386
558,BFS,387
566,BFS,387
583,BFS,392
11,BFS,392
37,BFS,393
110,BFS,396
114,BFS,396
135,BFS,397
200,BFS,400
264,BFS,400
319,BFS,401
512,BFS,401
521,BFS,401
551,BFS,401
555,BFS,402
585,BFS,402
505,BFS,402
98,BFS,404
150,BFS,404
160,BFS,404
188,BFS,406
192,BFS,407
210,BFS,407
280,BFS,408
323,BFS,408
371,BFS,409
383,BFS,409
433,BFS,409
469,BFS,410
19,BFS,413
100,BFS,414
116,BFS,414
168,BFS,414
211,BFS,415
457,BFS,416
499,BFS,418
594,BFS,418
66,BFS,419
109,BFS,420
113,BFS,420
194,BFS,420
307,BFS,420
470,BFS,420
497,BFS,421
68,BFS,422
310,BFS,422
387,BFS,422
491,BFS,422
523,BFS,423
28,BFS,424
49,BFS,424
61,BFS,425
102,BFS,425
136,BFS,425
183,BFS,426
215,BFS,426
230,BFS,426
240,BFS,426
257,BFS,426
441,BFS,426
500,BFS,427
540,BFS,428
545,BFS,428
547,BFS,428
556,BFS,429
562,BFS,429
20,BFS,429
29,BFS,432
53,BFS,433
248,BFS,435
262,BFS,436
279,BFS,436
306,BFS,436
528,BFS,436
581,BFS,436
595,BFS,437
13,BFS,438
67,BFS,438
104,BFS,439
239,BFS,440
249,BFS,440
285,BFS,440
296,BFS,440
302,BFS,441
328,BFS,442
335,BFS,442
355,BFS,443
382,BFS,445
429,BFS,445
454,BFS,446
474,BFS,447
503,BFS,447
530,BFS,447
77,BFS,447
213,BFS,448
456,BFS,449
477,BFS,449
316,BFS,449
324,BFS,449
333,BFS,450
193,BFS,450
571,BFS,451
175,BFS,452
464,BFS,452
549,BFS,453
573,BFS,453
599,BFS,453
58,BFS,453
81,BFS,453
315,BFS,454
374,BFS,455
392,BFS,455
403,BFS,456
258,BFS,457
360,BFS,457
397,BFS,457
425,BFS,459
259,BFS,459
569,BFS,459
381,BFS,460
501,BFS,460
524,BFS,461
590,BFS,461
380,BFS,461
514,BFS,461
157,BFS,461
206,BFS,461
582,BFS,462
14,BFS,462
171,BFS,462
70,BFS,462
105,BFS,462
154,BFS,462
304,BFS,462
345,BFS,462
546,BFS,462
584,BFS,462
139,BFS,462
227,BFS,462
362,BFS,463
475,BFS,463
141,BFS,463
243,BFS,463
574,BFS,464
575,BFS,464
8,BFS,466
331,BFS,466
3,BFS,467
115,BFS,467
419,BFS,468
74,BFS,468
126,BFS,468
271,BFS,469
428,BFS,469
560,BFS,469
369,BFS,469
42,BFS,469
45,BFS,469
332,BFS,470
25,BFS,470
414,BFS,470
481,BFS,470
254,BFS,471
342,BFS,471
421,BFS,471
353,BFS,471
133,BFS,471
415,BFS,471
462,BFS,472
253,BFS,472
338,BFS,472
519,BFS,473
404,BFS,473
176,BFS,473
498,BFS,473
522,BFS,474
57,BFS,474
222,BFS,474
372,BFS,474
349,BFS,475
201,BFS,475
250,BFS,475
267,BFS,475
394,BFS,475
413,BFS,475
586,BFS,475
576,BFS,476
368,BFS,476
85,BFS,476
97,BFS,476
507,BFS,476
147,BFS,476
543,BFS,476
437,BFS,477
592,BFS,477
121,BFS,477
564,BFS,477
41,BFS,477
31,BFS,477
393,BFS,477
