Padrao,Busca,NMPA_Parcial
340,BFS,105
357,BFS,106
398,BFS,106
180,BFS,107
186,BFS,109
199,BFS,109
4,BFS,110
21,BFS,110
68,BFS,110
69,BFS,111
141,BFS,112
226,BFS,113
228,BFS,114
367,BFS,115
379,BFS,115
397,BFS,115
159,BFS,115
161,BFS,117
173,BFS,117
266,BFS,117
100,BFS,118
203,BFS,119
119,BFS,120
156,BFS,120
344,BFS,120
132,BFS,125
134,BFS,125
163,BFS,127
315,BFS,127
16,BFS,128
25,BFS,128
83,BFS,128
89,BFS,132
96,BFS,133
116,BFS,134
117,BFS,134
196,BFS,135
206,BFS,135
250,BFS,136
260,BFS,137
289,BFS,137
298,BFS,138
330,BFS,140
364,BFS,143
393,BFS,143
31,BFS,144
44,BFS,145
306,BFS,145
316,BFS,146
333,BFS,146
63,BFS,147
247,BFS,148
267,BFS,148
327,BFS,149
355,BFS,150
28,BFS,151
67,BFS,152
103,BFS,153
118,BFS,153
274,BFS,154
294,BFS,156
359,BFS,156
373,BFS,157
57,BFS,157
60,BFS,157
197,BFS,158
176,BFS,158
205,BFS,159
231,BFS,161
258,BFS,162
287,BFS,162
42,BFS,163
54,BFS,166
137,BFS,169
188,BFS,170
192,BFS,170
218,BFS,170
233,BFS,170
268,BFS,170
372,BFS,170
51,BFS,171
175,BFS,172
219,BFS,173
235,BFS,175
271,BFS,175
278,BFS,175
295,BFS,175
303,BFS,175
326,BFS,178
331,BFS,178
350,BFS,178
351,BFS,179
370,BFS,179
376,BFS,179
388,BFS,179
394,BFS,180
17,BFS,180
300,BFS,180
328,BFS,181
396,BFS,185
38,BFS,185
214,BFS,185
272,BFS,186
285,BFS,187
382,BFS,187
93,BFS,188
264,BFS,189
366,BFS,190
41,BFS,190
313,BFS,192
336,BFS,192
342,BFS,192
361,BFS,193
62,BFS,193
227,BFS,194
288,BFS,194
339,BFS,194
387,BFS,194
204,BFS,195
234,BFS,198
259,BFS,199
310,BFS,199
345,BFS,199
109,BFS,200
360,BFS,200
7,BFS,200
32,BFS,201
127,BFS,201
48,BFS,201
143,BFS,201
178,BFS,201
211,BFS,201
292,BFS,201
39,BFS,201
261,BFS,202
120,BFS,203
78,BFS,204
80,BFS,206
90,BFS,206
130,BFS,206
136,BFS,207
308,BFS,207
50,BFS,209
114,BFS,210
107,BFS,210
202,BFS,211
208,BFS,211
30,BFS,211
146,BFS,211
198,BFS,211
20,BFS,212
145,BFS,212
170,BFS,212
323,BFS,214
383,BFS,215
189,BFS,216
138,BFS,216
164,BFS,216
216,BFS,216
229,BFS,217
341,BFS,217
193,BFS,217
322,BFS,218
165,BFS,218
183,BFS,219
255,BFS,219
395,BFS,219
102,BFS,219
133,BFS,219
209,BFS,220
220,BFS,222
334,BFS,223
337,BFS,224
384,BFS,224
169,BFS,225
184,BFS,225
251,BFS,225
318,BFS,226
52,BFS,227
56,BFS,228
84,BFS,229
182,BFS,230
282,BFS,231
349,BFS,231
122,BFS,232
140,BFS,233
319,BFS,234
34,BFS,235
82,BFS,235
171,BFS,235
181,BFS,235
263,BFS,236
275,BFS,236
166,BFS,236
6,BFS,237
179,BFS,238
200,BFS,239
232,BFS,239
356,BFS,239
92,BFS,239
273,BFS,239
378,BFS,240
253,BFS,240
150,BFS,240
194,BFS,241
27,BFS,242
81,BFS,242
254,BFS,242
124,BFS,244
362,BFS,245
8,BFS,245
45,BFS,245
307,BFS,245
338,BFS,246
91,BFS,246
221,BFS,246
385,BFS,247
79,BFS,248
256,BFS,248
135,BFS,248
212,BFS,249
301,BFS,249
291,BFS,249
297,BFS,249
281,BFS,249
352,BFS,249
207,BFS,249
98,BFS,249
66,BFS,250
305,BFS,250
246,BFS,250
129,BFS,250
71,BFS,250
187,BFS,251
348,BFS,251
65,BFS,251
222,BFS,251
223,BFS,251
88,BFS,251
101,BFS,251
325,BFS,251
49,BFS,251
375,BFS,251
99,BFS,251
86,BFS,251
76,BFS,251
