Padrao,Busca,DensidadeRegiao,NMPA_Parcial
372,DFS,0.06238238238238238,810
120,DFS,0.06238238238238238,810
588,DFS,0.06238238238238238,810
429,DFS,0.06238238238238238,810
300,DFS,0.06238238238238238,810
990,DFS,0.06238238238238238,810
972,DFS,0.06238238238238238,810
971,DFS,0.06238238238238238,810
968,DFS,0.06238238238238238,810
960,DFS,0.06238238238238238,810
950,DFS,0.06238238238238238,810
935,DFS,0.06238238238238238,810
914,DFS,0.06238238238238238,810
880,DFS,0.06238238238238238,810
875,DFS,0.06238238238238238,810
815,DFS,0.06238238238238238,810
793,DFS,0.06238238238238238,810
782,DFS,0.06238238238238238,810
779,DFS,0.06238238238238238,810
750,DFS,0.06238238238238238,810
726,DFS,0.06238238238238238,810
680,DFS,0.06238238238238238,810
679,DFS,0.06238238238238238,810
660,DFS,0.06238238238238238,810
653,DFS,0.06238238238238238,810
645,DFS,0.06238238238238238,810
630,DFS,0.06238238238238238,810
593,DFS,0.06238238238238238,810
592,DFS,0.06238238238238238,810
567,DFS,0.06238238238238238,810
558,DFS,0.06238238238238238,810
555,DFS,0.06238238238238238,810
552,DFS,0.06238238238238238,810
536,DFS,0.06238238238238238,810
528,DFS,0.06238238238238238,810
527,DFS,0.06238238238238238,810
511,DFS,0.06238238238238238,810
478,DFS,0.06238238238238238,810
464,DFS,0.06238238238238238,810
461,DFS,0.06238238238238238,810
418,DFS,0.06238238238238238,810
413,DFS,0.06238238238238238,810
411,DFS,0.06238238238238238,810
405,DFS,0.06238238238238238,810
395,DFS,0.06238238238238238,810
392,DFS,0.06238238238238238,810
390,DFS,0.06238238238238238,810
351,DFS,0.06238238238238238,810
338,DFS,0.06238238238238238,810
316,DFS,0.06238238238238238,810
263,DFS,0.06238238238238238,810
250,DFS,0.06238238238238238,810
234,DFS,0.06238238238238238,810
214,DFS,0.06238238238238238,810
209,DFS,0.06238238238238238,810
208,DFS,0.06238238238238238,810
204,DFS,0.06238238238238238,810
193,DFS,0.06238238238238238,810
192,DFS,0.06238238238238238,810
182,DFS,0.06238238238238238,810
173,DFS,0.06238238238238238,810
144,DFS,0.06238238238238238,810
109,DFS,0.06238238238238238,810
86,DFS,0.06238238238238238,810
79,DFS,0.06238238238238238,810
62,DFS,0.06238238238238238,810
13,DFS,0.06238238238238238,810
1,DFS,0.06238238238238238,810
831,DFS,0.06238238238238238,810
618,DFS,0.06238238238238238,810
266,DFS,0.06238238238238238,810
986,DFS,0.06238238238238238,810
982,DFS,0.06238238238238238,810
902,DFS,0.06238238238238238,810
900,DFS,0.06238238238238238,810
861,DFS,0.06238238238238238,810
834,DFS,0.06238238238238238,810
818,DFS,0.06238238238238238,810
786,DFS,0.06238238238238238,810
776,DFS,0.06238238238238238,810
762,DFS,0.06238238238238238,810
757,DFS,0.06238238238238238,810
755,DFS,0.06238238238238238,810
742,DFS,0.06238238238238238,810
738,DFS,0.06238238238238238,810
737,DFS,0.06238238238238238,810
736,DFS,0.06238238238238238,810
720,DFS,0.06238238238238238,810
719,DFS,0.06238238238238238,810
709,DFS,0.06238238238238238,810
695,DFS,0.06238238238238238,810
678,DFS,0.06238238238238238,810
662,DFS,0.06238238238238238,810
649,DFS,0.06238238238238238,810
620,DFS,0.06238238238238238,810
596,DFS,0.06238238238238238,810
595,DFS,0.06238238238238238,810
591,DFS,0.06238238238238238,810
579,DFS,0.06238238238238238,810
573,DFS,0.06238238238238238,810
544,DFS,0.06238238238238238,810
530,DFS,0.06238238238238238,810
524,DFS,0.06238238238238238,810
509,DFS,0.06238238238238238,810
502,DFS,0.06238238238238238,810
496,DFS,0.06238238238238238,810
495,DFS,0.06238238238238238,810
492,DFS,0.06238238238238238,810
481,DFS,0.06238238238238238,810
465,DFS,0.06238238238238238,810
451,DFS,0.06238238238238238,810
431,DFS,0.06238238238238238,810
412,DFS,0.06238238238238238,810
388,DFS,0.06238238238238238,810
385,DFS,0.06238238238238238,810
377,DFS,0.06238238238238238,810
354,DFS,0.06238238238238238,810
352,DFS,0.06238238238238238,810
334,DFS,0.06238238238238238,810
330,DFS,0.06238238238238238,810
325,DFS,0.06238238238238238,810
